namekey;imageurl;person;personLabel;personDescription;wikipediaENurl
http://www.wikidata.org/entity/Q111072910;https://commons.wikimedia.org/wiki/Special:Redirect/file/D.H._Knott_LCCN2014709420.jpg?width=1024;http://www.wikidata.org/entity/Q100146531;David Hurst Knott;American politician;https://en.wikipedia.org/wiki/David_H._Knott
http://www.wikidata.org/entity/Q110845506;https://commons.wikimedia.org/wiki/Special:Redirect/file/Hendrix_Lapierre_%28cropped%29.jpg?width=1024;http://www.wikidata.org/entity/Q100150917;Hendrix Lapierre;Canadian ice hockey player;https://en.wikipedia.org/wiki/Hendrix_Lapierre
http://www.wikidata.org/entity/Q44445101;https://commons.wikimedia.org/wiki/Special:Redirect/file/Lt._Gen._Karsten_S._Heckl.jpg?width=1024;http://www.wikidata.org/entity/Q100252415;Karsten S. Heckl;U.S. Marine Corps general;https://en.wikipedia.org/wiki/Karsten_Heckl
http://www.wikidata.org/entity/Q19720184;https://commons.wikimedia.org/wiki/Special:Redirect/file/Trey_Hillman_2013.jpg?width=1024;http://www.wikidata.org/entity/Q1002851;Trey Hillman;American baseball player and coach;https://en.wikipedia.org/wiki/Trey_Hillman
http://www.wikidata.org/entity/Q117787732;https://commons.wikimedia.org/wiki/Special:Redirect/file/Adm_Frank_F_Fletcher_headshot.jpg?width=1024;http://www.wikidata.org/entity/Q1003513;Frank Friday Fletcher;United States Navy Medal of Honor recipient (1855-1928);https://en.wikipedia.org/wiki/Frank_Friday_Fletcher
http://www.wikidata.org/entity/Q112115877;https://commons.wikimedia.org/wiki/Special:Redirect/file/Th%C3%ADch_Tr%C3%AD_Qu%E1%BA%A3ng.jpg?width=1024;http://www.wikidata.org/entity/Q1006267;Thich Tri Quang;Vietnamese Buddhist monk (1924–2019);https://en.wikipedia.org/wiki/Th%C3%ADch_Tr%C3%AD_Quang
http://www.wikidata.org/entity/Q97653045;https://commons.wikimedia.org/wiki/Special:Redirect/file/Voa_chinese_Cai_Wu_China_Culture_Minister_6sept10_300.jpg?width=1024;http://www.wikidata.org/entity/Q1006940;Cai Wu;Chinese politician;https://en.wikipedia.org/wiki/Cai_Wu
http://www.wikidata.org/entity/Q42261114;https://commons.wikimedia.org/wiki/Special:Redirect/file/Banks_Turner_in_the_1920_Tennessee_House_of_Representatives_61st_General_Assembly.jpg?width=1024;http://www.wikidata.org/entity/Q100707615;Banks Turner;American politician;https://en.wikipedia.org/wiki/Banks_Turner
http://www.wikidata.org/entity/Q56709702;https://commons.wikimedia.org/wiki/Special:Redirect/file/Jamison_Battle.jpg?width=1024;http://www.wikidata.org/entity/Q100746415;Jamison Battle;American basketball player (born 2001);https://en.wikipedia.org/wiki/Jamison_Battle
http://www.wikidata.org/entity/Q112207693;https://commons.wikimedia.org/wiki/Special:Redirect/file/%E5%90%B3%E5%BB%B7%E9%AD%81_Ng%C3%B4_%C4%90%C3%ACnh_Kh%C3%B4i_%28cropped%29.jpg?width=1024;http://www.wikidata.org/entity/Q1007830;Ngô Đình Khôi;Vietnamese politician (1885-1945);https://en.wikipedia.org/wiki/Ng%C3%B4_%C4%90%C3%ACnh_Kh%C3%B4i
http://www.wikidata.org/entity/Q84317809;https://commons.wikimedia.org/wiki/Special:Redirect/file/Prentiss_Hubb.jpg?width=1024;http://www.wikidata.org/entity/Q100806031;Prentiss Hubb;American basketball player;https://en.wikipedia.org/wiki/Prentiss_Hubb
http://www.wikidata.org/entity/Q61961399;https://commons.wikimedia.org/wiki/Special:Redirect/file/Lake_Kelly.jpg?width=1024;http://www.wikidata.org/entity/Q100869655;Lake Kelly;American basketball player and coach;https://en.wikipedia.org/wiki/Lake_Kelly
http://www.wikidata.org/entity/Q48979006;https://commons.wikimedia.org/wiki/Special:Redirect/file/SaintsGame_%2851584966166%29_%28cropped%29.jpg?width=1024;http://www.wikidata.org/entity/Q100871143;Juwan Johnson;American football player;https://en.wikipedia.org/wiki/Juwan_Johnson
http://www.wikidata.org/entity/Q56166137;https://commons.wikimedia.org/wiki/Special:Redirect/file/Jarod_Lucas.jpg?width=1024;http://www.wikidata.org/entity/Q100877851;Jarod Lucas;American basketball player;https://en.wikipedia.org/wiki/Jarod_Lucas
http://www.wikidata.org/entity/Q16282234;https://commons.wikimedia.org/wiki/Special:Redirect/file/Tyrese_Martin.jpg?width=1024;http://www.wikidata.org/entity/Q100880225;Tyrese Martin;American basketball player;https://en.wikipedia.org/wiki/Tyrese_Martin
http://www.wikidata.org/entity/Q105953853;https://commons.wikimedia.org/wiki/Special:Redirect/file/Davion_Mintz.jpg?width=1024;http://www.wikidata.org/entity/Q100885226;Davion Mintz;American basketball player;https://en.wikipedia.org/wiki/Davion_Mintz
http://www.wikidata.org/entity/Q105953853;https://commons.wikimedia.org/wiki/Special:Redirect/file/Davion_Mitchell.jpg?width=1024;http://www.wikidata.org/entity/Q100885338;Davion Mitchell;American basketball player;https://en.wikipedia.org/wiki/Davion_Mitchell
http://www.wikidata.org/entity/Q54805729;https://commons.wikimedia.org/wiki/Special:Redirect/file/Tristen_Newtown_White_House.jpg?width=1024;http://www.wikidata.org/entity/Q100890869;Tristen Newton;American basketball player;https://en.wikipedia.org/wiki/Tristen_Newton
http://www.wikidata.org/entity/Q82753212;https://commons.wikimedia.org/wiki/Special:Redirect/file/Donta_Scott_attempts_to_get_space_from_a_Wolverine_defender_as_he_brings_the_ball_up_at_X-finity_Center%2C_December_31%2C_2020_%28All-Pro_Reels_Photography%29_%28cropped%29.jpg?width=1024;http://www.wikidata.org/entity/Q100920946;Donta Scott;American basketball player;https://en.wikipedia.org/wiki/Donta_Scott
http://www.wikidata.org/entity/Q65092008;https://commons.wikimedia.org/wiki/Special:Redirect/file/Dru_Smith.jpg?width=1024;http://www.wikidata.org/entity/Q100924114;Dru Smith;American basketball player;https://en.wikipedia.org/wiki/Dru_Smith
http://www.wikidata.org/entity/Q87664613;https://commons.wikimedia.org/wiki/Special:Redirect/file/DJ_Stewart_Jr.jpg?width=1024;http://www.wikidata.org/entity/Q100927626;D.J. Stewart;American basketball player (born 1999);https://en.wikipedia.org/wiki/D.J._Stewart_Jr.
http://www.wikidata.org/entity/Q43303875;https://commons.wikimedia.org/wiki/Special:Redirect/file/Justice_Sueing.jpg?width=1024;http://www.wikidata.org/entity/Q100929677;Justice Sueing;"college basketball player (2017–2021) University of California; Ohio State";https://en.wikipedia.org/wiki/Justice_Sueing
http://www.wikidata.org/entity/Q6160140;https://commons.wikimedia.org/wiki/Special:Redirect/file/HCU_vs_Texas_A%26M_Commerce_MBB_1-12-23_%2846%29_%28cropped%29.jpg?width=1024;http://www.wikidata.org/entity/Q100942490;Jaret Von Rosenberg;American basketball player and coach;https://en.wikipedia.org/wiki/Jaret_von_Rosenberg
http://www.wikidata.org/entity/Q19858516;https://commons.wikimedia.org/wiki/Special:Redirect/file/Keaton_Wallace.jpg?width=1024;http://www.wikidata.org/entity/Q100944690;Keaton Wallace;American basketball player;https://en.wikipedia.org/wiki/Keaton_Wallace
http://www.wikidata.org/entity/Q21148530;https://commons.wikimedia.org/wiki/Special:Redirect/file/Sultana_Firdousi_2.jpg?width=1024;http://www.wikidata.org/entity/Q101001377;Sultana Firdousi;Bangladeshi poet;https://en.wikipedia.org/wiki/Sultana_Firdousi
http://www.wikidata.org/entity/Q96748276;https://commons.wikimedia.org/wiki/Special:Redirect/file/Volpi%2C_Di_Francisca%2C_Zagidullina%2C_Shi_-_2020_Kazan_Women%27s_Foil_World_Cup_%28cropped%29_-_Shi_Yue.jpg?width=1024;http://www.wikidata.org/entity/Q101067870;Shi Yue;Chinese fencer;https://en.wikipedia.org/wiki/Shi_Yue_(fencer)
http://www.wikidata.org/entity/Q113128264;https://commons.wikimedia.org/wiki/Special:Redirect/file/AnnieStockingBoyce1915.png?width=1024;http://www.wikidata.org/entity/Q101071896;Annie Woodman Stocking Boyce;American missionary;https://en.wikipedia.org/wiki/Annie_Stocking_Boyce
http://www.wikidata.org/entity/Q1483687;https://commons.wikimedia.org/wiki/Special:Redirect/file/Papers_of_Dr_Marthe_Louise_Vogt_Wellcome_L0064411_%28cropped%29.jpg?width=1024;http://www.wikidata.org/entity/Q101167;Marthe Vogt;German neuroscientist (1903–2003);https://en.wikipedia.org/wiki/Marthe_Vogt
http://www.wikidata.org/entity/Q53791627;https://commons.wikimedia.org/wiki/Special:Redirect/file/Loyce_Pace%2C_HHS_Assistant_Secretary.jpg?width=1024;http://www.wikidata.org/entity/Q101427768;Loyce Pace;American public healthy policy expert;https://en.wikipedia.org/wiki/Loyce_Pace
http://www.wikidata.org/entity/Q28035467;https://commons.wikimedia.org/wiki/Special:Redirect/file/Willie_C._Cooper.jpg?width=1024;http://www.wikidata.org/entity/Q101486347;Willie Cooper Hobby;First Lady of Texas;https://en.wikipedia.org/wiki/Willie_Cooper_Hobby
