qid;imageurl;person;personLabel;personDescription;wikipediaEN
http://www.wikidata.org/entity/Q1159009;http://commons.wikimedia.org/wiki/Special:FilePath/Jack%20Carter%201949.JPG;http://www.wikidata.org/entity/Q1676993;Jack Carter;Comedian and actor (1922-2015);https://en.wikipedia.org/wiki/Jack_Carter_(comedian)
http://www.wikidata.org/entity/Q1159009;http://commons.wikimedia.org/wiki/Special:FilePath/Dragna%201915.JPG;http://www.wikidata.org/entity/Q1677023;Jack Dragna;American mobster (1891-1956);https://en.wikipedia.org/wiki/Jack_Dragna
http://www.wikidata.org/entity/Q1159009;http://commons.wikimedia.org/wiki/Special:FilePath/Formazione%20Juventus%201905%20%28Diment%29.jpg;http://www.wikidata.org/entity/Q1677017;Jack Diment;football player;https://en.wikipedia.org/wiki/Jack_Diment
http://www.wikidata.org/entity/Q1159009;http://commons.wikimedia.org/wiki/Special:FilePath/Belden.png;http://www.wikidata.org/entity/Q1676975;Jack Belden;American author and war correspondent (1910–1989);https://en.wikipedia.org/wiki/Jack_Belden
http://www.wikidata.org/entity/Q1159009;http://commons.wikimedia.org/wiki/Special:FilePath/Portrait%20of%20Jack%20Cole%20LCCN2004662721.jpg;http://www.wikidata.org/entity/Q1677001;Jack Cole;choreographer (1911-1974);https://en.wikipedia.org/wiki/Jack_Cole_(choreographer)
http://www.wikidata.org/entity/Q1159009;http://commons.wikimedia.org/wiki/Special:FilePath/Cartoonist%20Jack%20Davis.jpg;http://www.wikidata.org/entity/Q1677016;Jack Davis;American cartoonist (1924–2016);https://en.wikipedia.org/wiki/Jack_Davis_(cartoonist)
http://www.wikidata.org/entity/Q1159009;http://commons.wikimedia.org/wiki/Special:FilePath/Jack%20Costanzo%202003.jpg;http://www.wikidata.org/entity/Q1677004;Jack Costanzo;American musician (1919–2018);https://en.wikipedia.org/wiki/Jack_Costanzo
http://www.wikidata.org/entity/Q1159009;http://commons.wikimedia.org/wiki/Special:FilePath/Jack%20Dyer.jpg;http://www.wikidata.org/entity/Q1677019;Jack Dyer;Australian rules footballer, coach and commentator (1913–2003);https://en.wikipedia.org/wiki/Jack_Dyer
http://www.wikidata.org/entity/Q1159009;http://commons.wikimedia.org/wiki/Special:FilePath/Jackbinion.jpg;http://www.wikidata.org/entity/Q1676976;Jack Binion;American businessman;https://en.wikipedia.org/wiki/Jack_Binion
http://www.wikidata.org/entity/Q1159009;http://commons.wikimedia.org/wiki/Special:FilePath/Jack%20Walton.jpg;http://www.wikidata.org/entity/Q1676987;John Calloway Walton;American politician (1881-1949);https://en.wikipedia.org/wiki/Jack_C._Walton
http://www.wikidata.org/entity/Q677191;http://commons.wikimedia.org/wiki/Special:FilePath/James%20Brolin%202013%20%28cropped%29.jpg;http://www.wikidata.org/entity/Q315051;James Brolin;American actor;https://en.wikipedia.org/wiki/James_Brolin
http://www.wikidata.org/entity/Q677191;http://commons.wikimedia.org/wiki/Special:FilePath/James%20Hopwood%20Jeans.jpg;http://www.wikidata.org/entity/Q315545;James Hopwood Jeans;British mathematician and astronomer (1877 – 1946);https://en.wikipedia.org/wiki/James_Jeans
http://www.wikidata.org/entity/Q677191;http://commons.wikimedia.org/wiki/Special:FilePath/James%20Morrison%20%40%20The%20Hammersmith%20Apollo.jpg;http://www.wikidata.org/entity/Q316301;James Morrison;British singer;https://en.wikipedia.org/wiki/James_Morrison_(singer)
http://www.wikidata.org/entity/Q677191;http://commons.wikimedia.org/wiki/Special:FilePath/James%20Christy%20%281978%29.jpg;http://www.wikidata.org/entity/Q315845;James W. Christy;American astronomer;https://en.wikipedia.org/wiki/James_W._Christy
http://www.wikidata.org/entity/Q677191;http://commons.wikimedia.org/wiki/Special:FilePath/Jim%20Braddock.jpg;http://www.wikidata.org/entity/Q317017;James J. Braddock;American boxer (1905-1974);https://en.wikipedia.org/wiki/James_J._Braddock
http://www.wikidata.org/entity/Q677191;http://commons.wikimedia.org/wiki/Special:FilePath/2014%20AHA%20Hero%20Dog%20Awards%20Celebrity%20Hosts%20James%20Denton%20and%20Beth%20Stern%20cropped.jpg;http://www.wikidata.org/entity/Q317516;James Denton;American actor;https://en.wikipedia.org/wiki/James_Denton
http://www.wikidata.org/entity/Q677191;http://commons.wikimedia.org/wiki/Special:FilePath/James%20Doohan%20Scotty%20Star%20Trek.JPG;http://www.wikidata.org/entity/Q318412;James Doohan;Canadian actor (1920–2005);https://en.wikipedia.org/wiki/James_Doohan
http://www.wikidata.org/entity/Q677191;http://commons.wikimedia.org/wiki/Special:FilePath/James%20R.%20Hoffa%20NYWTS.jpg;http://www.wikidata.org/entity/Q317638;Jimmy Hoffa;American labor union leader (1913–1975);https://en.wikipedia.org/wiki/Jimmy_Hoffa
http://www.wikidata.org/entity/Q677191;http://commons.wikimedia.org/wiki/Special:FilePath/James%20E.%20Abbe%20by%20Maurice%20Goldberg.jpg;http://www.wikidata.org/entity/Q321301;James Abbe;American photographer (1883-1973);https://en.wikipedia.org/wiki/James_Abbe
http://www.wikidata.org/entity/Q677191;http://commons.wikimedia.org/wiki/Special:FilePath/Jim%20Lightbody.jpg;http://www.wikidata.org/entity/Q318952;James Lightbody;American middle distance runner (1882-1953);https://en.wikipedia.org/wiki/Jim_Lightbody
http://www.wikidata.org/entity/Q2424149;http://commons.wikimedia.org/wiki/Special:FilePath/Benjamin%20Goodhue%20by%20Wright%201790%20%28page%20425%20crop%29.jpg;http://www.wikidata.org/entity/Q817516;Benjamin Goodhue;American politician (1748-1814);https://en.wikipedia.org/wiki/Benjamin_Goodhue
http://www.wikidata.org/entity/Q2424149;http://commons.wikimedia.org/wiki/Special:FilePath/Benjamin%20Eaton%20circa%201885%20%28cropped%29.jpg;http://www.wikidata.org/entity/Q817530;Benjamin Harrison Eaton;Union Army officer (1833-1904);https://en.wikipedia.org/wiki/Benjamin_Harrison_Eaton
http://www.wikidata.org/entity/Q2424149;http://commons.wikimedia.org/wiki/Special:FilePath/BenjaminHBunn.jpg;http://www.wikidata.org/entity/Q817526;Benjamin H. Bunn;American politician (1844-1907);https://en.wikipedia.org/wiki/Benjamin_H._Bunn
http://www.wikidata.org/entity/Q2424149;http://commons.wikimedia.org/wiki/Special:FilePath/Benjamin%20Hardin.jpg;http://www.wikidata.org/entity/Q817528;Benjamin Hardin;American politician (1784-1852);https://en.wikipedia.org/wiki/Benjamin_Hardin
http://www.wikidata.org/entity/Q2424149;http://commons.wikimedia.org/wiki/Special:FilePath/Benjamin%20Godard%2001.jpg;http://www.wikidata.org/entity/Q817524;Benjamin Godard;French violinist and composer (1849–1895);https://en.wikipedia.org/wiki/Benjamin_Godard
http://www.wikidata.org/entity/Q2424149;http://commons.wikimedia.org/wiki/Special:FilePath/Benjamin%20H.%20Clover%20%28Kansas%20Congressman%29.jpg;http://www.wikidata.org/entity/Q817527;Benjamin H. Clover;American politician (1837-1899);https://en.wikipedia.org/wiki/Benjamin_H._Clover
http://www.wikidata.org/entity/Q2424149;http://commons.wikimedia.org/wiki/Special:FilePath/Benjamin%20Gorka.jpg;http://www.wikidata.org/entity/Q817514;Benjamin Gorka;German footballer;https://en.wikipedia.org/wiki/Benjamin_Gorka
http://www.wikidata.org/entity/Q2424149;http://commons.wikimedia.org/wiki/Special:FilePath/Tour%20de%20l%27Ain%202014%20-%20Stage%203%20-%20Benjamin%20Giraud.jpg;http://www.wikidata.org/entity/Q817507;Benjamin Giraud;French bicycle racer;https://en.wikipedia.org/wiki/Benjamin_Giraud
