givennameLabel;qid
A.;Q19803442
Aalt;Q21147385
Aarnout;Q21144084
Abbe;Q111664994
Abbey;Q18199985
Abbie;Q20830295
Abbondio;Q19796101
Abdelali;Q112086095
Abdeljelil;Q54006558
Abdourahmane;Q108093615
Abdülkerim;Q16830272
Abdurahman;Q122232379
Abedin;Q122215383
Abercrombie;Q111048119
Abercromby;Q91171623
Abi;Q81903464
Abuzer;Q123581094
Achaz;Q23885849
Acland;Q92155507
Adah;Q121084975
Adeel;Q100144529
Adekunle;Q60269805
Adenike;Q101001185
Adewale;Q4682409
Adger;Q96009758
Adin;Q28457883
Adler;Q18606140
Ado;Q2824680
Adolphine;Q21142901
Adriatik;Q122206039
Aglionby;Q116257152
Agnew;Q56064801
Agnolo;Q97782921
Ai;Q96184711
Ai;Q96186013
Ailbhe;Q58280936
Aimilia;Q122233255
Ainslie;Q51734742
Ainsworth;Q106483030
Airlie;Q98650205
AJ;Q26849007
Ajet;Q122232340
Akers;Q116184226
Akke;Q18706987
Alakbar;Q26125494
Alanson;Q62089798
Albi;Q122232332
Alcide;Q1862642
Alcock;Q110899530
Aldegonde;Q2832272
Alderson;Q79258743
Aldred;Q107636834
Aleko;Q67999204
Alem;Q122232320
Alene;Q29032922
Alers;Q91860948
Alessa;Q78443084
Alexsander;Q97751654
Alfrida;Q10405115
Alfried;Q122232312
Ali;Q648010
Alket;Q122216068
Alleyne;Q26944839
Alline;Q112664077
Almiro;Q122233201
Alphonsius;Q21142513
Alqi;Q122207013
Alson;Q56524723
Alush;Q122215981
Alvord;Q114798070
Alyn;Q54811270
Alyse;Q65549019
Amali;Q122232292
Amalya;Q122451406
Amauri;Q105511844
Amel;Q16164391
América;Q27117888
Americus;Q97291627
Ames;Q28936941
Amet;Q122232276
Ameya;Q110290904
Amherst;Q88263604
Amik;Q122207327
Amílcar;Q21286220
Amirhosein;Q126900614
Amr;Q2844485
Amrish;Q100377501
Amrit;Q63344431
Ān;Q96251256
Ananda;Q20000094
Anant;Q50280901
Ananth;Q50280911
Andie;Q81903080
Andreana;Q54881671
André-Jean;Q122232263
Andrewes;Q109486176
Andrine;Q11958043
Androniki;Q122232257
Aneliya;Q126741295
Anesti;Q122232248
Ang;Q96241338
Ánh;Q104596727
Animesh;Q30670092
Anne-Élisabeth;Q65767177
Ānní;Q125357284
Annukka;Q5479970
Anoop;Q86914202
Anstruther;Q56259272
Anthimos;Q122232492
Anthoni;Q21143423
Anthonij;Q21141926
Antone;Q56024200
Anucha;Q4777725
Anupam;Q25203681
Anush;Q60575828
Anxhela;Q122233191
Ào;Q124619188
Aqif;Q122207043
Aram;Q4068496
Araminta;Q4784021
Aravind;Q122232231
Arbër;Q20000673
Arbi;Q122232222
Arbuthnott;Q111048176
Archdale;Q51954539
Arduino;Q16274921
Arias;Q111039330
Ariel;Q1793444
Arij;Q21141842
Ariosto;Q98102304
Arisa;Q127686821
Arlan;Q106441397
Arlete;Q67190715
Arley;Q12915109
Arline;Q3622804
Armani;Q61819236
Armitage;Q98528584
Arso;Q122232188
Arundel;Q56449420
Asadullah;Q86376013
Ashby;Q91079950
Ashe;Q66541379
Ashfaq;Q4804938
Ashworth;Q57689190
Asieh;Q116547857
Asparuh;Q122232182
Aspen;Q26944862
Assaad;Q111695261
Assane;Q28753708
Aster;Q85493043
Astrit;Q60785668
Atherton;Q39343022
Aubin;Q64743906
Aubone;Q116453991
Aubry;Q106481545
Aude;Q2870696
Aura;Q11853495
Aurélien;Q15635195
Avdi;Q122232164
Averell;Q66678449
Averill;Q111041051
Avery;Q790645
Aviad;Q79312998
Awais;Q118151012
Axelina;Q10423722
Ayalew;Q122867176
Ayfer;Q122232153
Ayhan;Q47088950
Ayman;Q11955774
Ayo;Q62481518
Ayodele;Q19901931
Aysegül;Q122232151
Ayshford;Q107524098
Azad;Q20000848
Azar;Q28169742
Azer;Q30669850
Azriel;Q95586455
B.;Q19803497
Ba;Q105640657
Ba;Q16256060
Babacar;Q56599269
Bacon;Q95595744
Bagher;Q116605539
Bahador;Q116608693
Bai;Q106832101
Bai;Q94538856
Baillie;Q106611241
Bainbridge;Q88240033
Baker;Q47500307
Baku;Q122215654
Bala;Q18285119
Baliol;Q113128382
Ball;Q64110432
Balla;Q86605714
Balram;Q63229975
Bancroft;Q28043503
Bāng;Q96241008
Banks;Q42261114
Bannatyne;Q108390844
Bao;Q104440241
Bảo;Q104596835
Baptiste;Q19927903
Baptistin;Q65786369
Barber;Q21143199
Barker;Q58483448
Barlow;Q94016617
Barnabé;Q29040032
Bartlett;Q53867733
Bartley;Q21505055
Barzillai;Q116003642
Basanta;Q115346912
Basem;Q83420763
Basheer;Q122232131
Basileios;Q122232130
Bass;Q41086191
Basset;Q97669157
Bassett;Q61121962
Bathurst;Q29791665
Bato;Q122232123
Baukje;Q21142568
Baylee;Q116686431
Beauchamp;Q58208051
Bebe;Q16256123
Becher;Q113128105
Beck;Q60185145
Beckett;Q87684441
Beckford;Q88774604
Beckwith;Q60930106
Bede;Q39365079
Begoña;Q5724869
Begüm;Q122232107
Beila;Q105368444
Bekim;Q116550025
Bela;Q11067517
Belal;Q56810960
Belton;Q115783761
Ben;Q104520754
Bentinck;Q108390174
Bentley;Q18608242
Berenger;Q105500126
Berhard;Q122233123
Bess;Q83507827
Bethell;Q123300092
Bethia;Q108123864
Betsey;Q87120561
Betti;Q56556023
Bevan;Q52287934
Beville;Q113128403
Bevis;Q108101930
Beyhan;Q122232075
Bhaskar;Q89195403
Bi;Q107980655
Bì;Q125042630
Bì;Q125043641
Bì;Q125053182
Bì;Q125053348
Bì;Q125062379
Bì;Q125066069
